date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:00	606931/606931	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:ce77a469f4b3193ecddd6ba112b5000f%22	https://artofjiujitsu.com/pages/academy	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/pages/academy.html	(from )
09:55:00	557/557	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:0e37336f38522f9608f6e7ff23f927bf%22	https://artofjiujitsu.com/robots.txt		(from )
09:55:01	43916/43916	---M--	200	added ('OK')	application/javascript	date:Sat,%2027%20Apr%202024%2016:55:16%20GMT	https://t.cometlytrack.com/e?uid=1d01bd-8392-9f0692-s	C:/Users/rohan/Desktop/BJJWeb/Budoj/t.cometlytrack.com/ee932	(from https://artofjiujitsu.com/pages/academy)
09:55:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202024%2016:55:16%20GMT	http://artofjiujitsu.com/cdn/shop/files/AOJ_32x32.jpg?v=1687880038	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/shop/files/AOJ_32x32.2b923.delayed	(from https://artofjiujitsu.com/pages/academy)
09:55:02	1243/1243	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Nov%202023%2014:31:56%20GMT	https://artofjiujitsu.com/cdn/shop/files/AOJ_32x32.jpg?v=1687880038	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/shop/files/AOJ_32x32b923.jpg	(from https://artofjiujitsu.com/pages/academy)
09:55:02	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/Users/rohan/Desktop/BJJWeb/Budoj/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://artofjiujitsu.com/pages/academy)
09:55:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202024%2016:55:18%20GMT	http://artofjiujitsu.com/cdn/shop/t/2/assets/animations.js?v=129422619617164921281696261693	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/shop/t/2/assets/animations.608b7.delayed	(from https://artofjiujitsu.com/pages/academy)
09:55:03	54063/54063	---MCZ	200	added ('OK')	application/javascript	etag:%22d32f-EbbcIDt/xXdE88n/UE4Bw1XN7Pk%22	https://unpkg.com/flickity@2.2.1/dist/flickity.pkgd.min.js	C:/Users/rohan/Desktop/BJJWeb/Budoj/unpkg.com/flickity@2.2.1/dist/flickity.pkgd.min.js	(from https://artofjiujitsu.com/pages/academy)
09:55:04	4709/4709	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Jan%202024%2021:46:04%20GMT	https://artofjiujitsu.com/cdn/shop/t/2/assets/animations.js?v=129422619617164921281696261693	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/shop/t/2/assets/animations08b7.js	(from https://artofjiujitsu.com/pages/academy)
09:55:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202024%2016:55:19%20GMT	http://artofjiujitsu.com/cdn/fonts/din_next/dinnext_n4.438c249fdbceeefafa64221353c5ece2fdb8ae14.woff2?h1=YXJ0b2ZqaXVqaXRzdS5jb20&h2=YXJ0b2ZqaXVqaXRzdS5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=995eb41401d4eeb397148ba037a35f705849abe9dea2783c627074b429698583	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/fonts/din_next/dinnext_n4.438c249fdbceeefafa64221353c5ece2fdb8ae143cbc.woff2	(from https://artofjiujitsu.com/pages/academy)
09:55:04	12480/12480	---M--	200	added ('OK')	font/woff2	date:Thu,%2011%20Apr%202024%2005:04:58%20GMT	https://artofjiujitsu.com/cdn/fonts/din_next/dinnext_n4.438c249fdbceeefafa64221353c5ece2fdb8ae14.woff2?h1=YXJ0b2ZqaXVqaXRzdS5jb20&h2=YXJ0b2ZqaXVqaXRzdS5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=995eb41401d4eeb397148ba037a35f705849abe9dea2783c627074b429698583	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/fonts/din_next/dinnext_n4.438c249fdbceeefafa64221353c5ece2fdb8ae143cbc.woff2	(from https://artofjiujitsu.com/pages/academy)
09:55:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202024%2016:55:19%20GMT	http://artofjiujitsu.com/cdn/fonts/din_next/dinnext_n4.ba1a214c52f07ec250a5179209eb84e73639e1c9.woff?h1=YXJ0b2ZqaXVqaXRzdS5jb20&h2=YXJ0b2ZqaXVqaXRzdS5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=f936e1c4b9b5d25431e5c5d779fd58fb2ce790e4137d2d49f30090430b1b2cce	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/fonts/din_next/dinnext_n4.ba1a214c52f07ec250a5179209eb84e73639e1c915a4.woff	(from https://artofjiujitsu.com/pages/academy)
09:55:04	12516/12516	---M--	200	added ('OK')	font/woff2	date:Mon,%2011%20Mar%202024%2017:27:01%20GMT	https://artofjiujitsu.com/cdn/fonts/din_next/dinnext_n4.ba1a214c52f07ec250a5179209eb84e73639e1c9.woff?h1=YXJ0b2ZqaXVqaXRzdS5jb20&h2=YXJ0b2ZqaXVqaXRzdS5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=f936e1c4b9b5d25431e5c5d779fd58fb2ce790e4137d2d49f30090430b1b2cce	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/fonts/din_next/dinnext_n4.ba1a214c52f07ec250a5179209eb84e73639e1c915a4.woff	(from https://artofjiujitsu.com/pages/academy)
09:55:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202024%2016:55:20%20GMT	http://artofjiujitsu.com/cdn/fonts/din_next/dinnext_n5.9de62f474792d83a5c7487ba13c73b05f03f03c7.woff2?h1=YXJ0b2ZqaXVqaXRzdS5jb20&h2=YXJ0b2ZqaXVqaXRzdS5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=2f1bfca7d84ccd129b81ccaf7bcf21dcb10db010144cf86b3e3318806ad87754	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/fonts/din_next/dinnext_n5.9de62f474792d83a5c7487ba13c73b05f03f03c7679e.woff2	(from https://artofjiujitsu.com/pages/academy)
09:55:05	12276/12276	---M--	200	added ('OK')	font/woff2	date:Thu,%2011%20Apr%202024%2002:48:29%20GMT	https://artofjiujitsu.com/cdn/fonts/din_next/dinnext_n5.9de62f474792d83a5c7487ba13c73b05f03f03c7.woff2?h1=YXJ0b2ZqaXVqaXRzdS5jb20&h2=YXJ0b2ZqaXVqaXRzdS5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=2f1bfca7d84ccd129b81ccaf7bcf21dcb10db010144cf86b3e3318806ad87754	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/fonts/din_next/dinnext_n5.9de62f474792d83a5c7487ba13c73b05f03f03c7679e.woff2	(from https://artofjiujitsu.com/pages/academy)
09:55:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202024%2016:55:21%20GMT	http://artofjiujitsu.com/cdn/fonts/din_next/dinnext_n5.780618dec464e6222d24888730ca26e0ca6ad6af.woff?h1=YXJ0b2ZqaXVqaXRzdS5jb20&h2=YXJ0b2ZqaXVqaXRzdS5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=d220419e8f11fde1b5abc752154985234f5abc611981c25e1f545866ea427048	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/fonts/din_next/dinnext_n5.780618dec464e6222d24888730ca26e0ca6ad6af59ce.woff	(from https://artofjiujitsu.com/pages/academy)
09:55:06	12264/12264	---M--	200	added ('OK')	font/woff2	date:Thu,%2011%20Apr%202024%2006:16:57%20GMT	https://artofjiujitsu.com/cdn/fonts/din_next/dinnext_n5.780618dec464e6222d24888730ca26e0ca6ad6af.woff?h1=YXJ0b2ZqaXVqaXRzdS5jb20&h2=YXJ0b2ZqaXVqaXRzdS5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=d220419e8f11fde1b5abc752154985234f5abc611981c25e1f545866ea427048	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/fonts/din_next/dinnext_n5.780618dec464e6222d24888730ca26e0ca6ad6af59ce.woff	(from https://artofjiujitsu.com/pages/academy)
09:55:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202024%2016:55:21%20GMT	http://artofjiujitsu.com/cdn/fonts/din_next/dinnext_i4.61ded265c0c537a08a3ef6c1f78e76a5f3be91c9.woff2?h1=YXJ0b2ZqaXVqaXRzdS5jb20&h2=YXJ0b2ZqaXVqaXRzdS5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=4cc82fb33e2e8ca79527d1da28602915be0a27312dcf8f0ffe8619992cdd546f	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/fonts/din_next/dinnext_i4.61ded265c0c537a08a3ef6c1f78e76a5f3be91c9a176.woff2	(from https://artofjiujitsu.com/pages/academy)
09:55:06	13568/13568	---M--	200	added ('OK')	font/woff2	date:Thu,%2011%20Apr%202024%2003:56:35%20GMT	https://artofjiujitsu.com/cdn/fonts/din_next/dinnext_i4.61ded265c0c537a08a3ef6c1f78e76a5f3be91c9.woff2?h1=YXJ0b2ZqaXVqaXRzdS5jb20&h2=YXJ0b2ZqaXVqaXRzdS5hY2NvdW50Lm15c2hvcGlmeS5jb20&hmac=4cc82fb33e2e8ca79527d1da28602915be0a27312dcf8f0ffe8619992cdd546f	C:/Users/rohan/Desktop/BJJWeb/Budoj/artofjiujitsu.com/cdn/fonts/din_next/dinnext_i4.61ded265c0c537a08a3ef6c1f78e76a5f3be91c9a176.woff2	(from https://artofjiujitsu.com/pages/academy)
